LSOA11CD,LAD11CD
E01000460,E09000004
E01000461,E09000004
E01000462,E09000004
E01000463,E09000004
E01000464,E09000004
E01000465,E09000004
E01000466,E09000004
E01000467,E09000004
E01000468,E09000004
E01000469,E09000004
E01000470,E09000004
E01000471,E09000005
E01000472,E09000005
E01000473,E09000005
E01000474,E09000005
E01000475,E09000005
E01000476,E09000005
E01000477,E09000005
E01000478,E09000005
E01000479,E09000005
E01000480,E09000005
E01000481,E09000005
E01000482,E09000005
E01000483,E09000005
E01000484,E09000005
E01000485,E09000005
E01000486,E09000005
E01000487,E09000005
E01000488,E09000005
E01000489,E09000005
E01000490,E09000005
E01000491,E09000005
E01000492,E09000005
E01000493,E09000005
E01000494,E09000005
E01000495,E09000005
E01000497,E09000005
E01000498,E09000005
E01000499,E09000005
E01000501,E09000005
E01000502,E09000005
E01000503,E09000005
E01000504,E09000005
E01000505,E09000005
E01000506,E09000005
E01000507,E09000005
E01000508,E09000005
E01000509,E09000005
E01000510,E09000005
E01000511,E09000005
E01000512,E09000005
E01000513,E09000005
E01000514,E09000005
E01000515,E09000005
E01000516,E09000005
E01000517,E09000005
E01000518,E09000005
E01000519,E09000005
E01000520,E09000005
E01000521,E09000005
E01000522,E09000005
E01000523,E09000005
E01000524,E09000005
E01000525,E09000005
E01000526,E09000005
E01000527,E09000005
E01000528,E09000005
E01000530,E09000005
E01000531,E09000005
E01000532,E09000005
E01000533,E09000005
E01000534,E09000005
E01000535,E09000005
E01000536,E09000005
E01000538,E09000005
E01000539,E09000005
E01000540,E09000005
E01000541,E09000005
E01000543,E09000005
E01000544,E09000005
E01000545,E09000005
E01000546,E09000005
E01000547,E09000005
E01000548,E09000005
E01000549,E09000005
E01000550,E09000005
E01000551,E09000005
E01000552,E09000005
E01000553,E09000005
E01000554,E09000005
E01000555,E09000005
E01000556,E09000005
E01000557,E09000005
E01000558,E09000005
E01000559,E09000005
E01000560,E09000005
E01000561,E09000005
E01000562,E09000005
E01000563,E09000005
E01000564,E09000005
E01000565,E09000005
E01000566,E09000005
E01000567,E09000005
E01000568,E09000005
E01000569,E09000005
E01000570,E09000005
E01000571,E09000005
E01000572,E09000005
E01000573,E09000005
E01000574,E09000005
E01000575,E09000005
E01000576,E09000005
E01000577,E09000005
E01000578,E09000005
E01000579,E09000005
E01000580,E09000005
E01000581,E09000005
E01000582,E09000005
E01000583,E09000005
E01000584,E09000005
E01000585,E09000005
E01000586,E09000005
E01000587,E09000005
E01000588,E09000005
E01000589,E09000005
E01000590,E09000005
E01000591,E09000005
E01000592,E09000005
E01000593,E09000005
E01000594,E09000005
E01000595,E09000005
E01000596,E09000005
E01000599,E09000005
E01000600,E09000005
E01000601,E09000005
E01000602,E09000005
E01000603,E09000005
E01000604,E09000005
E01000605,E09000005
E01000606,E09000005
E01000607,E09000005
E01000608,E09000005
E01000609,E09000005
E01000610,E09000005
E01000611,E09000005
E01000612,E09000005
E01000613,E09000005
E01000615,E09000005
E01000616,E09000005
E01000617,E09000005
E01000618,E09000005
E01000619,E09000005
E01000620,E09000005
E01000621,E09000005
E01000622,E09000005
E01000623,E09000005
E01000624,E09000005
E01000625,E09000005
E01000626,E09000005
E01000627,E09000005
E01000628,E09000005
E01000629,E09000005
E01000630,E09000005
E01000631,E09000005
E01000632,E09000005
E01000633,E09000005
E01000634,E09000005
E01000635,E09000005
E01000636,E09000005
E01000637,E09000005
E01000638,E09000005
E01000639,E09000005
E01000640,E09000005
E01000641,E09000005
E01000642,E09000005
E01000643,E09000005
E01000644,E09000005
E01000645,E09000006
E01000646,E09000006
E01000647,E09000006
E01000648,E09000006
E01000649,E09000006
E01000650,E09000006
E01000651,E09000006
E01000652,E09000006
E01000653,E09000006
E01000654,E09000006
E01000655,E09000006
E01000656,E09000006
E01000657,E09000006
E01000658,E09000006
E01000659,E09000006
E01000661,E09000006
E01000662,E09000006
E01000663,E09000006
E01000664,E09000006
E01000665,E09000006
E01000666,E09000006
E01000667,E09000006
E01000668,E09000006
E01000669,E09000006
E01000670,E09000006
E01000671,E09000006
E01000672,E09000006
E01000673,E09000006
E01000674,E09000006
E01000675,E09000006
E01000676,E09000006
E01000677,E09000006
E01000678,E09000006
E01000679,E09000006
E01000680,E09000006
E01000681,E09000006
E01000682,E09000006
E01000683,E09000006
E01000684,E09000006
E01000685,E09000006
E01000686,E09000006
E01000687,E09000006
E01000688,E09000006
E01000689,E09000006
E01000690,E09000006
E01000691,E09000006
E01000692,E09000006
E01000693,E09000006
E01000694,E09000006
E01000695,E09000006
E01000696,E09000006
E01000697,E09000006
E01000698,E09000006
E01000699,E09000006
E01000700,E09000006
E01000701,E09000006
E01000702,E09000006
E01000703,E09000006
E01000704,E09000006
E01000705,E09000006
E01000706,E09000006
E01000707,E09000006
E01000708,E09000006
E01000709,E09000006
E01000710,E09000006
E01000711,E09000006
E01000712,E09000006
E01000713,E09000006
E01000714,E09000006
E01000715,E09000006
E01000716,E09000006
E01000717,E09000006
E01000718,E09000006
E01000719,E09000006
E01000720,E09000006
E01000721,E09000006
E01000722,E09000006
E01000723,E09000006
E01000724,E09000006
E01000725,E09000006
E01000726,E09000006
E01000727,E09000006
E01000728,E09000006
E01000729,E09000006
E01000730,E09000006
E01000731,E09000006
E01000732,E09000006
E01000733,E09000006
E01000734,E09000006
E01000735,E09000006
E01000736,E09000006
E01000737,E09000006
E01000738,E09000006
E01000739,E09000006
E01000740,E09000006
E01000741,E09000006
E01000742,E09000006
E01000743,E09000006
E01000744,E09000006
E01000745,E09000006
E01000746,E09000006
E01000747,E09000006
E01000748,E09000006
E01000749,E09000006
E01000750,E09000006
E01000751,E09000006
E01000752,E09000006
E01000753,E09000006
E01000754,E09000006
E01000755,E09000006
E01000756,E09000006
E01000757,E09000006
E01000758,E09000006
E01000759,E09000006
E01000760,E09000006
E01000761,E09000006
E01000762,E09000006
E01000763,E09000006
E01000764,E09000006
E01000765,E09000006
E01000766,E09000006
E01000767,E09000006
E01000768,E09000006
E01000769,E09000006
E01000770,E09000006
E01000771,E09000006
E01000772,E09000006
E01000773,E09000006
E01000774,E09000006
E01000775,E09000006
E01000777,E09000006
E01000778,E09000006
E01000779,E09000006
E01000780,E09000006
E01000781,E09000006
E01000782,E09000006
E01000783,E09000006
E01000784,E09000006
E01000785,E09000006
E01000786,E09000006
E01000787,E09000006
E01000788,E09000006
E01000789,E09000006
E01000790,E09000006
E01000791,E09000006
E01000792,E09000006
E01000793,E09000006
E01000794,E09000006
E01000795,E09000006
E01000796,E09000006
E01000797,E09000006
E01000798,E09000006
E01000799,E09000006
E01000800,E09000006
E01000801,E09000006
E01000802,E09000006
E01000803,E09000006
E01000804,E09000006
E01000805,E09000006
E01000806,E09000006
E01000807,E09000006
E01000808,E09000006
E01000809,E09000006
E01000810,E09000006
E01000811,E09000006
E01000812,E09000006
E01000813,E09000006
E01000814,E09000006
E01000815,E09000006
E01000816,E09000006
E01000818,E09000006
E01000819,E09000006
E01000820,E09000006
E01000822,E09000006
E01000823,E09000006
E01000824,E09000006
E01000825,E09000006
E01000826,E09000006
E01000827,E09000006
E01000828,E09000006
E01000829,E09000006
E01000830,E09000006
E01000831,E09000006
E01000832,E09000006
E01000833,E09000006
E01000834,E09000006
E01000835,E09000006
E01000836,E09000006
E01000837,E09000006
E01000838,E09000006
E01000839,E09000006
E01000840,E09000006
E01000841,E09000006
E01000842,E09000007
E01000843,E09000007
E01000844,E09000007
E01000845,E09000007
E01000846,E09000007
E01000847,E09000007
E01000848,E09000007
E01000849,E09000007
E01000850,E09000007
E01000851,E09000007
E01000852,E09000007
E01000853,E09000007
E01000854,E09000007
E01000855,E09000007
E01000856,E09000007
E01000857,E09000007
E01000858,E09000007
E01000859,E09000007
E01000860,E09000007
E01000861,E09000007
E01000862,E09000007
E01000863,E09000007
E01000864,E09000007
E01000865,E09000007
E01000866,E09000007
E01000867,E09000007
E01000868,E09000007
E01000869,E09000007
E01000870,E09000007
E01000871,E09000007
E01000872,E09000007
E01000873,E09000007
E01000874,E09000007
